"","Baba.F","Baba.P","Shinmura.F","Shinmura.P","Hashimoto.F","Hashimoto.P","Kudo.F","Kudo.P","Koizumi.F","Koizumi.P","Takahara.F","Takahara.P","Uno.F","Uno.P","Gandou.F","Gandou.P","Kobayashi.F","Kobayashi.P","Myotoku.F","Myotoku.P","Ryouma.F","Ryouma.P","Anabuki.F","Anabuki.P","Momotaro.F","Momotaro.P","Fujita.F","Fujita.P","Rakunou.Oukoku.F","Rakunou.Oukoku.P"
"ASV157","0.75387186079308","n.s","0.00535950620251112","n.s","0.544100738964775","n.s","0.707645945250034","n.s","0.25618894853356","n.s","0.729359514671201","n.s","0.0895878906844504","n.s","0.707645945250027","n.s","17.7473407494517","***","9.55619579778137","**","0.509570163890712","n.s","0.464030843507112","n.s","0.666355397310488","n.s","0.66076023477564","n.s","0.75492179261582","n.s"
"ASV278","0.0718568866096324","n.s","14.5420234783475","***","0.0673445860971871","n.s","0.067344586097187","n.s","0.0673445860971867","n.s","0.0809978559204965","n.s","0.0718567800177259","n.s","0.0673445860971862","n.s","0.0718567800177254","n.s","0.0718567800177252","n.s","0.0764077103176615","n.s","0.0764077103176613","n.s","0.0673445860971854","n.s","0.0628612292362887","n.s","0.0718567800177249","n.s"
"ASV135","0.438410339070428","n.s","0.449182500951899","n.s","0.399708992448354","n.s","0.847730223199051","n.s","0.421017190416496","n.s","0.489996674682116","n.s","0.449182458011175","n.s","0.421017190416498","n.s","0.449182458011173","n.s","0.412054997913651","n.s","0.389588362748736","n.s","7.08635469826392","**","19.4196414960578","***","0.283560779868082","n.s","0.422498598315226","n.s"
"ASV161","0.209373428173413","n.s","0.209373428173417","n.s","0.196309037752522","n.s","0.196309037752521","n.s","0.188588539955916","n.s","0.0268112461398251","n.s","0.0993036417190253","n.s","0.19630903775252","n.s","0.209454260969194","n.s","0.209454260969193","n.s","16.369925100263","***","0.440017265392739","n.s","0.00834072477111917","n.s","0.135166457778189","n.s","0.0553854765656502","n.s"
"ASV85","0.108485079052577","n.s","13.7186074200936","***","0.114311068091091","n.s","0.000412708342182909","n.s","0.11431106809109","n.s","0.137482061534978","n.s","0.10848484770386","n.s","0.11431106809109","n.s","0.11437997744202","n.s","0.118903820940015","n.s","0.117598829178324","n.s","0.129691930180448","n.s","0.111260464541963","n.s","0.00471416038229496","n.s","0.0130293104156367","n.s"
"ASV149","0.189621338045397","n.s","0.152069196584312","n.s","0.287174889150864","n.s","2.32079859279451","n.s","0.470400939285247","n.s","0.00839491171111555","n.s","0.502265913963055","n.s","0.476855664357105","n.s","0.0271033145418749","n.s","0.464248047044565","n.s","0.268433668957411","n.s","7.83639843695529e-05","n.s","1.37777416613764","n.s","8.13091763093526","**","0.508748559600824","n.s"
"ASV74","0.153865912134694","n.s","0.273946293944885","n.s","0.256755394042359","n.s","0.256755394042361","n.s","0.253260819954868","n.s","0.270948910955687","n.s","0.273944793018844","n.s","0.0104576934595891","n.s","0.239867113936331","n.s","0.273944793018843","n.s","0.102621052910228","n.s","23.8726688359065","***","0.00556907781468292","n.s","0.568411249366959","n.s","0.273944793018843","n.s"
"ASV176","0.0846219825182337","n.s","0.00169386208006095","n.s","4.90395370912368","*","16.754679223928","***","0.278955961585434","n.s","0.335462896915882","n.s","0.297628401838116","n.s","0.278955961585433","n.s","0.297628401838115","n.s","0.297628401838113","n.s","0.301143681820031","n.s","0.160517284912226","n.s","0.263787631242589","n.s","0.223558292277796","n.s","0.297628401838108","n.s"
"ASV61","0.548866515884627","n.s","0.556160414826239","n.s","0.26519781633439","n.s","0.528215590888173","n.s","0.0692742842107965","n.s","7.59393014908342","**","0.425877723212082","n.s","0.520904177845664","n.s","0.307551046957366","n.s","13.9736373297978","***","1.36549008535376","n.s","0.548508289585064","n.s","0.520904177845663","n.s","0.436030588472242","n.s","0.5635355405794","n.s"
"ASV64","0.632166710014014","n.s","0.632166710014039","n.s","0.460911957655892","n.s","0.161083511639474","n.s","0.0977311469209035","n.s","0.939881055063138","n.s","0.632167302779263","n.s","0.584351885385878","n.s","0.623927789291096","n.s","0.402018835472994","n.s","0.631269884155601","n.s","5.35290182665555","*","0.400189200229676","n.s","9.9942317365391","**","0.632167302779256","n.s"
